Enrollment Id,Company Name,Android APIs,Chrome APIs,SDK Names,Site
KC23F,Lei Chi Technology Co. Ltd.,,Attribution-Reporting Private-Aggregation Shared-Storage ,,https://jkforum.net
FWD4N,LineYahoo (formerly Yahoo Japan Corporation),Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://yahoo.co.jp
G5TPR,LinkedIn,Attribution-Reporting ,Attribution-Reporting Private-Aggregation Shared-Storage ,,https://linkedin.com
3E2ZH,Livewrapped AB,,Protected-Audience Topics ,,https://lwadm.com
G3MKW,Lucead,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://lucead.com
KPJM7,MOSHIMO CO. LTD.,,Attribution-Reporting ,,https://moshimo.com
NYXGD,Magnite,,Protected-Audience Topics ,,https://rubiconproject.com
3T339,Mass Luminosity Inc.,,Attribution-Reporting Protected-Audience Topics ,,https://beaconmax.com
BCYEB,Media.Net Advertising FZ LLC,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://media.net
9RN9C,Mediaocean,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://flashtalking.com
PQEEE,Mediavine,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://mediavine.com
ZJVA2,Merkle Italia SRL,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://aggregation-service-site-dot-clz200258-datateam-italy.ew.r.appspot.com
AE8AA,Meta,Attribution-Reporting ,Attribution-Reporting ,,https://facebook.com
7ACAW,MiQ Digital LTD,Attribution-Reporting Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://edkt.io
7JXQV,MicroAd Inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://microad.jp
6YHVH,Microsoft Corporation (adnxs.com),,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://adnxs.com
9HYBP,Microsoft Corporation (bing.com),,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://bing.com
5HMYF,Microsoft Corporation (xandr.com),,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://xandr.com
CZ3BG,MobileFuse,Protected-Audience Topics ,,com.mobilefuse.sdk,https://mobilefuse.com
FUA8P,Momento Inc.,Protected-Audience Topics ,Private-Aggregation Protected-Audience Shared-Storage Topics ,com.momento.ads,https://momento.dev
MB7XE,Monet Engine Inc. DBA AdaptMX,,Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://a-mo.net
TMMWP,NAVER Corporation,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://naver.com
W85GW,NBCUniversal Media LLC,Attribution-Reporting Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://peacocktv.com
3PPNA,NHN ACE Corporation.,Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,com.nhnace.adlib,https://nhnace.com
B97MF,NTT DOCOMO INC.,,Attribution-Reporting Protected-Audience Topics ,,https://docomo.ne.jp
VX5YX,Nativo,Attribution-Reporting Protected-Audience Topics ,Attribution-Reporting Protected-Audience Topics ,net.nativo.sdk,https://postrelease.com
UEQVY,NewsTV Inc.,,Attribution-Reporting Topics ,,https://primecaster.net
2FMQP,Newscorp,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://nypost.com
NQQWZ,Nextroll,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage ,,https://adroll.com
CR98Z,Nexxen,,Protected-Audience Topics ,,https://nexxen.tech
6X8E2,Nexxen Inc,,Protected-Audience Topics ,,https://unrulymedia.com
XME5U,Nielsen,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://imrworldwide.com
ZYGVN,Ninja Tools Inc.,,Protected-Audience ,,https://shinobi.jp
779BZ,OGGEH Inc,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://oggeh.com
N3HKH,Ogury,Topics ,Private-Aggregation Shared-Storage Topics ,com.ogury.sdk,https://presage.io
AVUPV,OneAD Inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://guoshipartners.com
D3942,Onetag Limited,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://onetag-sys.com
EQA4Z,OpenX Technologies Inc,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://openx.net
42Y3Q,Opera Software Ireland Ltd.,,Topics ,,https://apex-football.com
6B2TB,Optable Technologies Inc,Attribution-Reporting Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,co.optable.android_sdk,https://optable.co
92TPZ,Outbrain Inc.,Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,com.outbrain.mobile:obsdk,https://outbrain.com
J6MJJ,Ozone Project,Protected-Audience ,Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://thesun.co.uk
VGVDD,PM Dragonfly,,Attribution-Reporting Topics ,,https://pmdragonfly.com
9UMK7,Permutive,,Topics ,,https://permutive.app
9A48G,Phaistos Networks S.A.,,Attribution-Reporting Protected-Audience Topics ,,https://grxchange.gr
BF6YM,Pinterest,Attribution-Reporting ,Attribution-Reporting ,,https://pinterest.com
Q282V,Platform161 BV,Protected-Audience ,Attribution-Reporting Protected-Audience Topics ,,https://creative-serving.com
GZBRJ,Pranify,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://gnome-rx.com
NU6VN,Preciso SRL,,Protected-Audience Topics ,,https://2trk.info
NXW9E,PrimeAudience,,Topics ,,https://authorizedvault.com
ER34T,Programmatic Mechanics,Attribution-Reporting Protected-Audience ,Attribution-Reporting Protected-Audience Topics ,,https://pontiac.media
5PTRE,Propeller Ads Ltd,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://tpmark.net
HR4V2,Protected Media,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://ad-score.com
KR8EJ,PubMatic Inc.,Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,com.pubmatic.sdk,https://pubmatic.com
QWNBH,QWNBH,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://marisachi426.com
79RKN,Quantcast,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://quantserve.com
KFBTT,Quora Inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Topics ,,https://quora.com
WFTMY,R2B2 a.s.,,Protected-Audience Topics ,,https://r2b2.io
7NGYW,REA Group,,Protected-Audience Topics ,,https://realestate.com.au
G575K,RESPONSE PERFORMANCE LTD,,Attribution-Reporting Topics ,,https://audiencemanager.de
QU66H,Raptive (Formerly: Adthrive CMI Marketing Inc),,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://adthrive.com
QFQT6,Readpeak Oy,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://readpeak.com
EPNNE,Relay42 Netherlands B.V.,,Attribution-Reporting Protected-Audience Shared-Storage ,,https://explorefledge.com
BZ2MB,Relevant Digital Oy,Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://relevant-digital.com
GNR8D,Retargetly,,Protected-Audience Topics ,,https://retargetly.com
RWVBQ,RevX,Attribution-Reporting Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage ,,https://atomex.net
VNDFT,Ringier Axel Springer Polska,,Attribution-Reporting Protected-Audience Topics ,,https://onet.pl
KF9RT,Rtb House,Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://creativecdn.com
QCNYX,SBI Holdings Inc.,,Attribution-Reporting ,,https://eloan.co.jp
N893C,SFBX,,Shared-Storage Topics ,,https://appconsent.io
ANNUH,SMN Corporation,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://ladsp.com
6PJYG,Sabio Inc,Attribution-Reporting Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience ,,https://appscience.inc
NZXKT,Seedtag,,Attribution-Reporting Protected-Audience Shared-Storage Topics ,,https://seedtag.com
DWECP,Semafor Inc.,,Topics ,,https://semafor.com
DRPWA,Sephora USA Inc,,Topics ,,https://sephora.com
TDW7J,SevenData S.p.a.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://shinystat.com
36YKZ,Sharethrough,,Attribution-Reporting Protected-Audience Topics ,,https://sharethrough.com
X7W29,Singular,Attribution-Reporting Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,com.singular.sdk,https://singular.net
XCBNH,Smadex SLU,Attribution-Reporting Protected-Audience ,Attribution-Reporting Protected-Audience ,,https://smadexprivacysandbox.com
RJ2K6,Snap Inc,Attribution-Reporting Topics ,Attribution-Reporting Topics ,com.snap.adkit,https://snapchat.com
WHZPY,Sowelleber Corporation,,Topics ,,https://boost-web.com
589U4,Sportradar,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://sportradarserving.com
A7UPK,StackAdapt Inc.,,Attribution-Reporting ,,https://stackadapt.com
TKMHM,Start.io,Attribution-Reporting Protected-Audience Topics ,,com.startapp:inapp-sdk,https://startappservice.com
WV7E6,Storygize Inc,,Attribution-Reporting Protected-Audience Topics ,,https://storygize.net
BUWAE,Stroer SSP GmbH,,Protected-Audience Topics ,,https://adscale.de
