Enrollment Id,Company Name,Android APIs,Chrome APIs,SDK Names,Site
R9EAN,Basis.com,,Attribution-Reporting ,,https://sitescout.com
T6QZJ,BidTheatre,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://bidtheatre.net
ZX8UV,Blendee (formerly Neodata),Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,com.neodatagroup.sdk.exaudi,https://blendee.com
ZX5NP,Blockthrough,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://btloader.com
WJXKE,Blue Media Services,Protected-Audience ,Protected-Audience ,,https://bluems.com
VRJ4V,BlueCoat Consulting LLC,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://fob1020.com
FE8WW,Border Blue Inc.,,Topics ,,https://convertunits.com
4Q4WH,Branch Metrics Inc.,Attribution-Reporting ,,,https://branch.io
3CMUR,Bytedance Pte. Ltd,Attribution-Reporting Protected-Audience Topics ,,com.bytedance,https://sgsnssdk.com
U4RGB,CARSALES.COM LIMITED,,Protected-Audience ,,https://audience360.com.au
ZN6A4,CRAID inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://admatrix.jp
RHZ6B,Captify Technologies Ltd,,Attribution-Reporting Private-Aggregation Protected-Audience Topics ,,https://cpx.to
DNABN,Cazamba,,Private-Aggregation Topics ,,https://cazamba.com
Y9AU8,Cint AB,,Attribution-Reporting Private-Aggregation Shared-Storage Topics ,,https://samplicio.us
HFBQW,Clickforce,Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://holmesmind.com
G9X8G,Connatix Holdings Inc.,Topics ,Topics ,com.cnx.connatixplayersdk.external,https://connatix.com
JDM8V,Coolblue,Protected-Audience ,Protected-Audience ,,https://coolblue.nl
NNVVX,Coupang,,Protected-Audience Topics ,,https://coupang.com
GCUDR,Crimtan Holding Ltd,Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://ctnsnet.com
TVFPR,Criteo,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://criteo.com
289PD,CyberAgent Inc.,Attribution-Reporting Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://dynalyst.jp
H9BKB,D EDGE SAS,,Attribution-Reporting ,,https://d-edgeconnect.media
V9BD4,D.A.Consortium Inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://impact-ad.jp
R3CU8,DAILY MAIL AND GENERAL TRUST P L C (dailymail.co.uk),Protected-Audience Topics ,Protected-Audience Shared-Storage Topics ,,https://dailymail.co.uk
5UTQW,DAILY MAIL AND GENERAL TRUST P L C (metro.co.uk),Protected-Audience ,Protected-Audience Shared-Storage Topics ,,https://metro.co.uk
FK2VMC,Dailymotion SA,,Attribution-Reporting Protected-Audience Shared-Storage Topics ,,https://dailymotion.com
M5DW9,Dataseat Ltd,Attribution-Reporting Protected-Audience ,,,https://dataseat.com
XKHNY,Deepintent Inc.,,Protected-Audience Topics ,,https://deepintent.com
VNJQ4,Digital Turbine,Topics ,,com.fyber.inneractive.sdk,https://digitalturbine.com
28CUQ,Display.io,Attribution-Reporting Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,com.brandio.ads,https://display.io
UKB3K,DotDash Meredith,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://dotdashmeredith.com
5RUDT,Dstillery,,Attribution-Reporting Private-Aggregation Topics ,,https://media6degrees.com
8GNYH,E MARKETINGSOLUTIONS ONLINE MARKETING SL.,Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://uinterbox.com
NX44Q,EDAA (European Interactive Digital Advertising Alliance),,Shared-Storage ,,https://youronlinechoices.eu
DYUCD,EFFINITY,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://effinity.fr
NZ42Y,EMBRACE Systems GmbH,,Attribution-Reporting Protected-Audience Topics ,,https://s-f.tech
3CZMB,Emego GmbH (usemax),,Attribution-Reporting ,,https://usemax.de
NDZTB,Epsilon Data Management LLC,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://dotomi.com
JAZF9,Equativ,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://sascdn.com
3M9NV,Exponential Interactive Inc d/b/a VDX.tv,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://tribalfusion.com
JVC54,Ezoic Inc,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://ezoic.com
WMWCH,FAN Communications Inc.,Topics ,,net.nend.android,
4UZY5,FINN.no as,,Protected-Audience Shared-Storage Topics ,,https://finn.no
5R9NV,Fandom Inc.,,Protected-Audience Topics ,,https://fandom.com
66GYX,Feathr,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://feathr.co
VTNM7,FreakOut inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://fout.jp
5HXYX,Freestar,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://pub.network
KJHP2,Freestar,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://t13.io
UJ4KK,GMO AD MARKETING Inc,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://gmossp-sp.jp
HX396,GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,,Private-Aggregation Protected-Audience Shared-Storage ,,https://gokwik.co
2R5T2,Gamefort,,Shared-Storage Topics ,,https://torneos.gg
3KEGT,Geniee Inc,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://gsspat.jp
JN58Z,Getyourguide Inc.,,Shared-Storage ,,https://getyourguide.com
ZAGU6,Globo,,Attribution-Reporting Protected-Audience Topics ,,https://globo.com
9VKC2,Globo Comunicacao e Participacoes SA (Globo),Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://gama.globo
HJ9V7,Google LLC (PS APIs Monitoring),Attribution-Reporting ,Attribution-Reporting ,,https://ptb-msmt-static-5jyy5ulagq-uc.a.run.app
HJMAH,Google LLC (PS APIs Monitoring),Attribution-Reporting Protected-Audience ,,,https://ptb-ba-seller-5jyy5ulagq-uc.a.run.app
Z5T3R,Google LLC (PS APIs Monitoring),Attribution-Reporting Protected-Audience ,,,https://ptb-ba-buyer-5jyy5ulagq-uc.a.run.app
ptb,Google LLC (PS APIs Monitoring),Protected-Audience Topics ,,com.google.android.libraries.internal.sampleads,https://ptb-fledge-static-5jyy5ulagq-uc.a.run.app
3QN67,Google LLC (Privacy Sandbox Demos),,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://privacy-sandcastle-dev-ssp-a.web.app
5W6R6,Google LLC (Privacy Sandbox Demos),,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://privacy-sandbox-demos-dsp-a.dev
66DAC,Google LLC (Privacy Sandbox Demos),,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://privacy-sandcastle-dev-dsp-b1.web.app
